Price,Vol.,SN&P Adjusted,DXY Adjusted,GOLD Adjusted,ETH Price,ETH Vol.,OIL Price Adjusted,Days from the last halving,TV2,TV
20111,98.97,3799.0,106.896,1817.11,1099.51,1.54,109.78,779,20278.0,0
14019,108.17,3336.2,90.88,1908.36,387.92,6.73,37.66,176,13561.0,0
8661,515.43,3083.3,96.047,1471.2,185.25,9.57,56.77,1223,8783.0,0
18770,208.72,3645.9,89.482,1814.87,585.66,49.42,44.55,204,19698.0,1
1097,70.98,2362.6,96.478,1249.13,48.6,784.6,50.6,267,1086.0,0
3788,67.82,2496.5,92.82,1297.38,285.9,570.42,50.66,441,3600.0,0
22761,278.58,4093.4,103.78,1867.36,1613.72,401.03,74.11,1001,22936.0,0
17163,348.22,3938.6,103.739,1768.45,1294.41,858.51,80.56,933,16440.0,0
42697,39.26,4918.1,104.068,2024.67,2301.83,244.98,72.78,1365,42581.0,0
16540,295.73,3954.3,104.689,1773.77,1206.16,705.31,85.59,919,16895.0,0
4824,70.48,2547.9,93.7,1291.8,303.2,407.08,51.3,459,4763.0,0
18247,85.31,3645.2,90.727,1835.31,558.13,19.6,46.78,213,18546.0,0
21352,199.81,3688.6,90.097,1864.15,637.38,3.11,47.82,219,19434.0,0
10752,515.47,2899.6,98.105,1507.1,196.14,10.01,56.34,1137,10910.0,1
34283,128.57,3694.1,90.927,1846.09,1376.96,1.59,52.2,264,34301.0,0
19418,273.11,3837.1,111.656,1674.94,1335.01,934.28,85.11,860,20113.0,0
16918,133.36,3797.0,102.98,1797.61,1227.65,177.66,80.97,959,16831.0,0
6962,142.07,2639.2,92.941,1353.29,430.14,827.17,66.82,641,6854.0,0
22964,289.12,4111.7,104.112,1875.59,1650.99,447.57,78.47,1003,23251.0,0
39460,249.6,3764.7,90.328,1912.5,1224.35,2.71,50.83,241,36793.0,1
8405,722.67,3301.9,97.101,1563.33,162.8,14.86,55.59,1293,8678.0,0
35426,53.49,4355.4,105.725,1968.4,1885.97,370.1,77.37,1275,35042.0,0
51320,50.27,5038.8,103.875,2024.11,2972.46,595.92,78.61,1382,51858.0,0
18527,865.1,3786.3,105.967,1712.52,1335.25,2.87,88.91,911,20589.0,0
